gene_id;gene;old_locus_tag;product
PP_RS00795;;PP_0155;NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta
PP_RS00800;;PP_5747;NAD(P) transhydrogenase subunit alpha
PP_RS00805;;PP_0156;Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
PP_RS00810;;PP_0157;LysR family transcriptional regulator
PP_RS00815;;PP_0158;acyl-CoA dehydrogenase
PP_RS00820;;PP_0159;CoA transferase
PP_RS00860;;PP_0160;TonB-dependent siderophore receptor
PP_RS00865;;PP_0161;FecR family protein
PP_RS00870;;PP_0162;sigma-70 family RNA polymerase sigma factor
PP_RS00875;;PP_0163;GntR family transcriptional regulator
PP_RS00880;;PP_0164;transglutaminase-like cysteine peptidase
PP_RS00885;;PP_0165;EAL domain-containing protein
PP_RS00890;;PP_0166;HlyD family type I secretion periplasmic adaptorsubunit
PP_RS00895;;PP_0167;type I secretion system permease/ATPase
PP_RS00900;;PP_0168;type I secretion C-terminal target domain-containing protein
PP_RS00905;;PP_5431;hypothetical protein
PP_RS00910;;PP_0169;TauD/TfdA family dioxygenase
PP_RS00915;;PP_0170;ABC transporter substrate-binding protein
PP_RS00920;;PP_0171;ABC transporter ATP-binding protein
PP_RS00925;;PP_0172;ABC transporter permease
PP_RS00930;;PP_0173;WYL domain-containing protein
PP_RS00935;;PP_0174;sel1 repeat family protein
PP_RS00940;;PP_0175;winged helix DNA-binding protein
PP_RS00945;;PP_0176;FUSC family protein
PP_RS00950;;PP_0177;DUF1656 domain-containing protein
PP_RS00955;;PP_0178;HlyD family secretion protein
PP_RS00960;;PP_0179;TolC family protein
PP_RS00965;;PP_0180;FTR1 family protein
PP_RS00970;;PP_0181;TIGR02647 family protein
PP_RS00975;;PP_0182;hypothetical protein
PP_RS00980;;PP_0183;glutathione S-transferase
PP_RS00985;argH;PP_0184;argininosuccinate lyase
PP_RS00990;;PP_0185;LytTR family DNA-binding domain-containing protein
PP_RS00995;hemC;PP_0186;hydroxymethylbilane synthase
PP_RS01000;;PP_0187;uroporphyrinogen-III synthase
PP_RS01005;;PP_0188;uroporphyrinogen-III C-methyltransferase
PP_RS01010;;PP_0189;heme biosynthesis protein HemY
PP_RS01015;;PP_0190;disulfide bond formation protein B
PP_RS01020;;PP_0191;Rsd/AlgQ family anti-sigma factor
PP_RS01025;;PP_0192;FKBP-type peptidyl-prolyl cis-trans isomerase
PP_RS01030;;PP_0194;AlgP family protein
PP_RS01035;;PP_0195;TIGR02444 family protein
PP_RS01040;;PP_0196;ATP-binding cassette domain-containing protein
PP_RS01045;;PP_0197;mechanosensitive ion channel family protein
PP_RS01050;;PP_0198;LysE family transporter
PP_RS01055;;PP_0199;slipin family protein
PP_RS01060;;PP_0200;nodulation protein NfeD
PP_RS01065;;PP_0201;YbaK/EbsC family protein
PP_RS01070;;PP_5432;DUF2789 domain-containing protein
PP_RS01075;;PP_5433;hypothetical protein
PP_RS01080;;PP_0202;CBS domain-containing protein
PP_RS01085;;PP_0203;dipeptidase
PP_RS01095;;PP_0204;GntR family transcriptional regulator
PP_RS01100;;PP_0205;fumarate reductase/succinate dehydrogenase flavoprotein subunit
PP_RS01105;;PP_0206;ferredoxin family protein
PP_RS01110;;PP_0207;ABC transporter substrate-binding protein
PP_RS01115;;PP_0208;ABC transporter permease
PP_RS01120;;PP_0209;ABC transporter ATP-binding protein
PP_RS01125;;PP_0210;HEAT repeat domain-containing protein
PP_RS01130;;PP_0211;DUF971 domain-containing protein
PP_RS01135;gabD;PP_0213;NADP-dependent succinate-semialdehyde dehydrogenase
PP_RS01140;gabT;PP_0214;4-aminobutyrate--2-oxoglutarate transaminase
PP_RS01145;;PP_0215;response regulator
PP_RS01150;;PP_0216;sensor domain-containing diguanylate cyclase
PP_RS01155;desA;PP_0217;delta-9 fatty acid desaturase DesA
PP_RS01160;;PP_0218;EAL domain-containing protein
PP_RS01165;;PP_0219;ABC transporter permease
PP_RS01170;;PP_0220;ATP-binding cassette domain-containing protein
PP_RS01175;;PP_0221;MetQ/NlpA family ABC transporter substrate-binding protein
PP_RS01180;;PP_0222;LLM class flavin-dependent oxidoreductase
PP_RS01185;;PP_0223;SfnB family sulfur acquisition oxidoreductase
PP_RS01190;;PP_0224;SfnB family sulfur acquisition oxidoreductase
PP_RS01195;yecC;PP_0225;L-cystine ABC transporter ATP-binding protein YecC
PP_RS01200;tcyL;PP_0226;cystine ABC transporter permease
PP_RS01205;tcyJ;PP_0227;cystine ABC transporter substrate-binding protein
PP_RS01210;;PP_0228;serine O-acetyltransferase
PP_RS01215;betT;PP_0229;choline transporter BetT
PP_RS01220;tauD;PP_0230;taurine dioxygenase
PP_RS01225;tauC;PP_0231;taurine ABC transporter permease TauC
PP_RS01230;tauB;PP_0232;taurine ABC transporter ATP-binding subunit
PP_RS01235;tauA;PP_0233;taurine ABC transporter substrate-binding protein
PP_RS01240;;PP_0234;OprD family porin
PP_RS01245;;PP_0235;peroxiredoxin
PP_RS01250;ssuE;PP_0236;NADPH-dependent FMN reductase
PP_RS01255;;PP_0237;sulfonate ABC transporter substrate-binding protein
PP_RS01260;ssuD;PP_0238;FMNH2-dependent alkanesulfonate monooxygenase
PP_RS01265;ssuC;PP_0239;aliphatic sulfonate ABC transporter permease SsuC
PP_RS01270;ssuB;PP_0240;aliphatic sulfonates ABC transporter ATP-bindingprotein
PP_RS01275;;PP_0241;molybdopterin-binding protein
PP_RS01280;;PP_0242;TetR/AcrR family transcriptional regulator
PP_RS01285;gshA;PP_0243;glutamate--cysteine ligase
PP_RS01290;;PP_0244;PaaI family thioesterase
PP_RS01295;;PP_0245;RNA-binding transcriptional accessory protein
PP_RS01300;ompR;PP_0246;two-component system response regulator OmpR
PP_RS01305;;PP_0247;ATP-binding protein
PP_RS01310;rimK;PP_0248;30S ribosomal protein S6--L-glutamate ligase
PP_RS01315;;PP_0249;ATP-dependent zinc protease
PP_RS01320;;PP_0250;S4 domain-containing protein
PP_RS01325;;PP_0251;phosphatase PAP2 family protein
PP_RS01330;hslO;PP_0252;Hsp33 family molecular chaperone HslO
PP_RS01335;;PP_0253;phosphoenolpyruvate carboxykinase
PP_RS01340;;PP_0254;thioesterase family protein
PP_RS01345;;PP_0255;glycine zipper domain-containing protein
PP_RS01350;;PP_0256;FdhF/YdeP family oxidoreductase
PP_RS01355;fdhD;PP_0257;formate dehydrogenase accessory sulfurtransferase FdhD
PP_RS01360;lysM;PP_0258;peptidoglycan-binding protein LysM
PP_RS01365;yrfG;PP_0259;GMP/IMP nucleotidase
PP_RS01370;nudE;PP_0260;ADP compounds hydrolase NudE
PP_RS01375;cysQ;PP_0261;3'(2'),5'-bisphosphate nucleotidase CysQ
PP_RS01380;;PP_0262;YiiD C-terminal domain-containing protein
PP_RS01385;;PP_0263;sigma-54 dependent transcriptional regulator
PP_RS01390;;PP_0264;ATP-binding protein
PP_RS01395;rfbC;PP_0265;dTDP-4-dehydrorhamnose 3,5-epimerase
PP_RS01400;aguA;PP_0266;agmatine deiminase
PP_RS01405;;PP_0267;TonB-dependent siderophore receptor
PP_RS01410;;PP_0268;OprD family porin
PP_RS01415;;PP_0269;FMN-binding glutamate synthase family protein
PP_RS01420;;PP_0270;ATP-binding protein
PP_RS01425;;PP_0271;response regulator
PP_RS01430;;PP_0272;TonB-dependent siderophore receptor
PP_RS01435;;PP_0273;DUF3079 domain-containing protein
PP_RS01440;;PP_5435;type II toxin-antitoxin system HigB family toxin
PP_RS01445;;PP_0274;transcriptional regulator
PP_RS01450;;PP_5436;integrase
PP_RS01455;;PP_0275;type II toxin-antitoxin system RelE/ParE family toxin
PP_RS01460;;PP_0276;helix-turn-helix domain-containing protein
PP_RS01470;;PP_0277;hypothetical protein
PP_RS01475;;PP_0278;DUF3077 domain-containing protein
PP_RS01480;;PP_0279;methyltransferase
PP_RS01485;;PP_0280;ABC transporter permease
PP_RS01490;;PP_0281;ABC transporter permease
PP_RS01495;;PP_0282;ABC transporter substrate-binding protein
PP_RS01500;;PP_0283;ABC transporter ATP-binding protein
PP_RS01505;gabP;PP_0284;GABA permease
PP_RS01510;;PP_5439;hypothetical protein
PP_RS01515;;PP_5440;hypothetical protein
PP_RS01525;;PP_0285;oxidative damage protection protein
PP_RS01530;mutY;PP_0286;A/G-specific adenine glycosylase
PP_RS01535;;PP_0287;AsmA family protein
PP_RS01540;;PP_0288;OFA family MFS transporter
PP_RS01545;hisB;PP_0289;imidazoleglycerol-phosphate dehydratase HisB
PP_RS01550;hisH;PP_0290;imidazole glycerol phosphate synthase subunit HisH
PP_RS01555;;PP_0291;DUF2164 domain-containing protein
PP_RS01560;hisA;PP_0292;1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase
PP_RS01565;hisF;PP_0293;imidazole glycerol phosphate synthase subunit HisF
PP_RS01570;choV;PP_0294;choline ABC transporter ATP-binding protein
PP_RS01575;choW;PP_0295;choline ABC transporter permease subunit
PP_RS01580;;PP_0296;choline ABC transporter substrate-binding protein
PP_RS01585;;PP_0297;L-serine ammonia-lyase
PP_RS01590;;PP_0298;GlxA family transcriptional regulator
PP_RS01595;;PP_0299;hypothetical protein
PP_RS01600;;PP_0300;metallopeptidase
PP_RS01605;;PP_0301;thioesterase family protein
PP_RS01610;;PP_0302;L-carnitine dehydrogenase
PP_RS01615;;PP_0303;3-keto-5-aminohexanoate cleavage protein
PP_RS01620;choX;PP_0304;choline ABC transporter substrate-binding protein
PP_RS01625;;PP_0305;GlxA family transcriptional regulator
PP_RS01630;;PP_5442;hypothetical protein
PP_RS01635;;PP_0306;hypothetical protein
PP_RS01640;;PP_0307;DUF1311 domain-containing protein
PP_RS01645;;PP_0308;dipeptidase
PP_RS01650;;PP_0309;DUF5943 domain-containing protein
PP_RS01655;dgcA;PP_0310;dimethylglycine demethylation protein DgcA
PP_RS01660;dgcB;PP_0311;dimethylglycine demethylation protein DgcB
PP_RS01665;;PP_0312;electron transfer flavoprotein subunit alpha/FixB family protein
PP_RS01670;;PP_0313;electron transfer flavoprotein subunit beta
PP_RS01675;;PP_0314;RHS repeat-associated core domain-containing protein
PP_RS01680;gbcA;PP_0315;glycine-betaine demethylase subunit GbcA
PP_RS01685;gbcB;PP_0316;glycine-betaine demethylase subunit GbcB
PP_RS01690;;PP_0317;methyl-accepting chemotaxis protein
PP_RS01695;;PP_0318;hypothetical protein
PP_RS01700;;PP_0319;cell division protein ZapA
PP_RS01705;mcpH;PP_0320;methyl-accepting chemotaxis protein McpH
PP_RS01710;;PP_0321;low specificity L-threonine aldolase
PP_RS01715;;PP_0322;serine hydroxymethyltransferase
PP_RS01720;;PP_0323;sarcosine oxidase subunit beta family protein
PP_RS01725;;PP_0324;sarcosine oxidase subunit delta
PP_RS01730;;PP_0325;sarcosine oxidase subunit alpha
PP_RS01735;;PP_0326;sarcosine oxidase subunit gamma family protein
PP_RS01740;purU;PP_0327;formyltetrahydrofolate deformylase
PP_RS01745;fdhA;PP_0328;formaldehyde dehydrogenase, glutathione-independent
PP_RS01750;;PP_0329;hypothetical protein
PP_RS01755;;PP_0330;DUF2780 domain-containing protein
PP_RS01760;;PP_0331;RHS repeat-associated core domain-containing protein
PP_RS01765;;PP_0332;acyltransferase
