gene_id;gene;old_locus_tag;product
PP_RS14450;;PP_2779;beta-ketoacyl synthase
PP_RS14455;;PP_2780;beta-ketoacyl-[acyl-carrier-protein] synthase family protein
PP_RS14460;;PP_2781;beta-ketoacyl synthase
PP_RS14465;;PP_2782;aminotransferase class III-fold pyridoxal phosphate-dependent enzyme
PP_RS14470;;PP_2783;3-oxoacyl-ACP reductase FabG
PP_RS14475;;PP_2784;SDR family oxidoreductase
PP_RS14480;;PP_2785;hypothetical protein
PP_RS14485;;PP_2786;outer membrane lipoprotein-sorting protein
PP_RS14490;;PP_2787;MMPL family transporter
PP_RS14495;;PP_2788;MerR family transcriptional regulator
PP_RS14500;;PP_2789;NAD(P)H-dependent oxidoreductase
PP_RS14505;prpR;PP_2790;propionate catabolism operon regulatory protein PrpR
PP_RS14510;;PP_2791;phosphotransferase family protein
PP_RS14515;lvaB;PP_2792;4-hydroxypentanoyl-CoA kinase subunit LvaB
PP_RS14520;;PP_2793;acyl-CoA dehydrogenase
PP_RS14525;;PP_2794;glucose 1-dehydrogenase
PP_RS14530;;PP_2795;acyl-CoA synthetase
PP_RS14535;;PP_2796;DUF485 domain-containing protein
PP_RS14540;;PP_2797;cation acetate symporter
PP_RS14545;;PP_2798;NAD(P)-binding domain-containing protein
PP_RS14550;;PP_2799;aspartate aminotransferase family protein
PP_RS14555;;PP_2800;aspartate aminotransferase family protein
PP_RS14560;;PP_2801;gamma-aminobutyraldehyde dehydrogenase
PP_RS14565;;PP_2802;APC family permease
PP_RS14570;;PP_2803;iron-containing alcohol dehydrogenase
PP_RS14575;;PP_2804;alpha/beta hydrolase
PP_RS14580;;PP_2805;NAD(P)/FAD-dependent oxidoreductase
PP_RS14585;;PP_2806;TetR/AcrR family transcriptional regulator
PP_RS14590;;PP_2807;phytanoyl-CoA dioxygenase family protein
PP_RS14595;;PP_2808;FAD-binding oxidoreductase
PP_RS14600;;PP_2809;hypothetical protein
PP_RS14605;;PP_2810;DUF1329 domain-containing protein
PP_RS14610;;PP_2811;DUF1302 domain-containing protein
PP_RS14615;;PP_2812;efflux RND transporter permease subunit
PP_RS14620;;PP_2813;YCF48-related protein
PP_RS14625;;PP_2814;phytanoyl-CoA dioxygenase family protein
PP_RS14630;;PP_2815;helix-turn-helix domain-containing protein
PP_RS14635;;PP_2816;TetR/AcrR family transcriptional regulator
PP_RS14640;;PP_2817;MexC family multidrug efflux RND transporter periplasmic adaptor subunit
PP_RS14645;;PP_2818;multidrug efflux RND transporter permease subunit
PP_RS14650;;PP_2819;efflux transporter outer membrane subunit
PP_RS14655;;PP_2820;TetR/AcrR family transcriptional regulator
PP_RS14660;;PP_2821;hypothetical protein
PP_RS14665;;PP_5539;hypothetical protein
PP_RS14670;;PP_2823;methyl-accepting chemotaxis protein
PP_RS14675;;PP_2824;TetR/AcrR family transcriptional regulator
PP_RS14680;;PP_2825;integrase
PP_RS14685;;PP_2826;LysR family transcriptional regulator
PP_RS14690;;PP_2827;zinc-dependent alcohol dehydrogenase family protein
PP_RS14695;;PP_2828;hypothetical protein
PP_RS14700;;PP_2829;GntR family transcriptional regulator
PP_RS14705;;PP_2830;MFS transporter
PP_RS14710;;PP_2831;L-fuconate dehydratase
PP_RS14715;;PP_2832;LysR family transcriptional regulator
PP_RS14720;;PP_2833;LysR family transcriptional regulator
PP_RS14725;;PP_2834;altronate dehydratase family protein
PP_RS14730;;PP_2835;Ldh family oxidoreductase
PP_RS14735;;PP_2836;fumarylacetoacetate hydrolase family protein
PP_RS14740;;PP_2837;MFS transporter
PP_RS14745;;PP_2838;VRR-NUC domain-containing protein
PP_RS14750;;PP_2839;ATP-dependent DNA helicase
PP_RS14755;;PP_2840;NnrS family protein
PP_RS14760;;PP_2841;tyrosine-type recombinase/integrase
PP_RS14765;;PP_2842;urease accessory protein UreD
PP_RS14770;;PP_2843;urease subunit gamma
PP_RS14775;;PP_2844;urease subunit beta
PP_RS14780;ureC;PP_2845;urease subunit alpha
PP_RS14785;ureE;PP_2846;urease accessory protein UreE
PP_RS14790;;PP_2847;HupE/UreJ family protein
PP_RS14795;;PP_2848;urease accessory protein UreF
PP_RS14800;ureG;PP_2849;urease accessory protein UreG
PP_RS14805;;PP_2851;DUF899 domain-containing protein
PP_RS14810;;PP_2852;LTA synthase family protein
PP_RS14815;;PP_2853;hypothetical protein
PP_RS14820;;PP_2854;hypothetical protein
PP_RS14825;;PP_2855;C39 family peptidase
PP_RS14830;;PP_2856;hypothetical protein
PP_RS14835;;PP_2857;hypothetical protein
PP_RS14840;;PP_2858;hypothetical protein
PP_RS14845;;PP_2859;AAA family ATPase
PP_RS14850;pnuC;PP_2860;nicotinamide riboside transporter PnuC
PP_RS14855;mcpP;PP_2861;methyl-accepting chemotaxis protein McpP
PP_RS14860;;PP_2862;undecaprenyl-diphosphate phosphatase
PP_RS14865;;PP_2863;DUF1294 domain-containing protein
PP_RS14870;;PP_2864;MmcQ/YjbR family DNA-binding protein
PP_RS14875;;PP_2865;LysR substrate-binding domain-containing protein
PP_RS14880;;PP_2866;FMN-dependent NADH-azoreductase
PP_RS14885;;PP_2867;NAD(P)/FAD-dependent oxidoreductase
PP_RS14890;;PP_2868;cupin domain-containing protein
PP_RS14895;;PP_2869;FAD-dependent oxidoreductase
PP_RS14900;;PP_2870;ABC transporter substrate-binding protein
PP_RS14905;;PP_2871;class II aldolase/adducin family protein
PP_RS14910;;PP_2872;EamA family transporter
PP_RS14915;;PP_2873;YbjQ family protein
PP_RS14920;;PP_5540;hypothetical protein
PP_RS14925;;PP_2874;hypothetical protein
PP_RS14930;;PP_2875;hypothetical protein
PP_RS14935;;PP_2876;class C beta-lactamase
PP_RS14940;;PP_2877;bile acid:sodium symporter
PP_RS14945;;PP_2879;DUF4157 domain-containing protein
PP_RS14950;;PP_2880;TetR/AcrR family transcriptional regulator
PP_RS14955;;PP_2881;SDR family oxidoreductase
PP_RS14960;;PP_2882;2-hydroxychromene-2-carboxylate isomerase
PP_RS14965;;PP_2883;hypothetical protein
PP_RS14970;;PP_2884;cupin domain-containing protein
PP_RS14975;;PP_2885;MFS transporter
PP_RS14980;;PP_2886;cytochrome b
PP_RS14985;;PP_2887;catalase family peroxidase
PP_RS14990;;PP_2888;sigma-70 family RNA polymerase sigma factor
PP_RS14995;;PP_2889;anti-sigma factor
PP_RS15000;xthA;PP_2890;exodeoxyribonuclease III
PP_RS15005;;PP_2891;GNAT family N-acetyltransferase
PP_RS15010;;PP_2892;autotransporter assembly complex protein TamA
PP_RS15015;;PP_2893;translocation/assembly module TamB
PP_RS15020;;PP_2894;DUF2589 domain-containing protein
PP_RS15025;;PP_2895;DUF2589 domain-containing protein
PP_RS15030;;PP_2896;transcriptional regulator
PP_RS15035;;PP_2898;hypothetical protein
PP_RS15040;;PP_2899;hypothetical protein
PP_RS15045;;PP_2900;hypothetical protein
PP_RS15050;;PP_2901;acylase
PP_RS15055;;PP_2902;UDP-2,3-diacylglucosamine diphosphatase
PP_RS15060;;PP_2903;peptidylprolyl isomerase
PP_RS15065;;PP_2904;glutamine--tRNA ligase/YqeY domain fusion protein
PP_RS15070;cysS;PP_2905;cysteine--tRNA ligase
PP_RS15075;;PP_2906;HAMP domain-containing histidine kinase
PP_RS15080;;PP_2907;response regulator transcription factor
PP_RS15085;csiR;PP_2908;DNA-binding transcriptional regulator CsiR
PP_RS15090;csiD;PP_2909;glutarate dioxygenase GlaH
PP_RS15095;lhgO;PP_2910;L-2-hydroxyglutarate oxidase
PP_RS15100;gabP;PP_2911;GABA permease
PP_RS15105;;PP_2912;serine protein kinase RIO
PP_RS15110;hemB;PP_2913;porphobilinogen synthase
PP_RS15115;proP;PP_2914;glycine betaine/L-proline transporter ProP
PP_RS15120;;PP_2915;YoaK family protein
PP_RS15125;;PP_2916;riboflavin synthase
PP_RS15130;treS;PP_2918;maltose alpha-D-glucosyltransferase
PP_RS15135;;PP_2919;LysR family transcriptional regulator
PP_RS15140;;PP_2920;5-oxoprolinase subunit PxpA
PP_RS15145;;PP_2921;allophanate hydrolase subunit 1
PP_RS15150;;PP_2922;biotin-dependent carboxyltransferase family protein
PP_RS15155;;PP_2923;TIGR03915 family putative DNA repair protein
PP_RS15160;;PP_2924;putative DNA modification/repair radical SAM protein
PP_RS15165;mqo;PP_2925;malate dehydrogenase (quinone)
PP_RS15170;;PP_2926;UDP-glucose/GDP-mannose dehydrogenase family protein
PP_RS15175;;PP_2927;class I SAM-dependent methyltransferase
PP_RS15180;;PP_2928;saccharopine dehydrogenase family protein
PP_RS15185;nspC;PP_2929;carboxynorspermidine decarboxylase
PP_RS15190;;PP_2930;serine/threonine dehydratase family protein
PP_RS15195;;PP_2931;PAS domain-containing protein
PP_RS15200;;PP_2932;amidase
PP_RS15205;yghU;PP_2933;glutathione-dependent disulfide-bond oxidoreductase
PP_RS15210;;PP_2934;dienelactone hydrolase
PP_RS15215;;PP_2935;MFS transporter
PP_RS15220;;PP_2936;ABC-F family ATPase
PP_RS15225;;PP_2937;integrase
PP_RS15230;;PP_2938;OsmC family protein
PP_RS15235;;PP_2939;Txe/YoeB family addiction module toxin
PP_RS15240;;PP_2940;type II toxin-antitoxin system prevent-host-death family antitoxin
PP_RS15245;;PP_5541;hypothetical protein
PP_RS15250;;PP_5542;hypothetical protein
PP_RS15255;;PP_2941;SOS response-associated peptidase family protein
PP_RS15260;;PP_2942;response regulator
PP_RS15265;;PP_2943;cytochrome b6
PP_RS15270;;PP_2944;ATP-binding protein
PP_RS15275;;PP_2945;ATP-binding protein
PP_RS15280;arfB;PP_2946;aminoacyl-tRNA hydrolase
PP_RS15285;;PP_2947;DNA binding protein
PP_RS15290;;PP_2948;PLP-dependent aminotransferase family protein
PP_RS15295;;PP_2949;DMT family transporter
PP_RS15300;;PP_2950;nuclear transport factor 2 family protein
PP_RS15305;;PP_2951;TetR family transcriptional regulator
PP_RS15310;;PP_2952;LysR family transcriptional regulator
PP_RS15315;;PP_2953;zinc-binding alcohol dehydrogenase family protein
PP_RS15320;;PP_2954;antibiotic biosynthesis monooxygenase
PP_RS15325;;PP_2955;magnesium transporter CorA family protein
PP_RS15330;;PP_2956;RimK family alpha-L-glutamate ligase
PP_RS15335;;PP_2957;GNAT family N-acetyltransferase/peptidase C39 family protein
PP_RS15340;grxC;PP_2958;glutaredoxin 3
PP_RS15345;;PP_2959;peroxidase-related enzyme
PP_RS15350;;PP_2960;AraC family transcriptional regulator
PP_RS15355;;PP_2961;LysR family transcriptional regulator
PP_RS15360;;PP_2962;zinc-dependent alcohol dehydrogenase family protein
PP_RS15365;;PP_2964;Tn3 family transposase
PP_RS15370;;PP_2965;Tn4652, tnpA repressor protein TnpC
PP_RS15375;;PP_RS15375;DedA family protein
PP_RS15380;mrdH;PP_2968;Ni(II)/Co(II) efflux transporter permease subunit MrdH
PP_RS15385;mreA;PP_2969;metal-sensing transcriptional repressor MreA
PP_RS15390;;PP_2970;hypothetical protein
PP_RS15395;;PP_RS15395;hypothetical protein
PP_RS15400;;PP_2971;IS5 family transposase
PP_RS15405;;PP_2973;diacylglycerol kinase
PP_RS15410;;PP_2974;LTA synthase family protein
PP_RS15415;;PP_2975;transposase
PP_RS15420;;PP_2977;IS3 family transposase
PP_RS15425;;PP_2978;ATP-dependent zinc protease
PP_RS15430;;PP_2979;YkvA family protein
PP_RS15435;;PP_2980;hypothetical protein
PP_RS15440;;PP_2981;site-specific integrase
PP_RS15445;;PP_2982;DNA-binding protein
PP_RS15450;;PP_2983;DUF6036 family nucleotidyltransferase
PP_RS15455;;PP_2984;hypothetical protein
PP_RS15460;;PP_2985;GrpB family protein
PP_RS15465;;PP_2986;SDR family oxidoreductase
PP_RS15470;;PP_2987;winged helix-turn-helix transcriptional regulator
PP_RS15475;;PP_2988;NADP-dependent oxidoreductase
PP_RS15480;;PP_2989;SDR family oxidoreductase
PP_RS15485;;PP_2990;MerR family transcriptional regulator
PP_RS15490;;PP_2991;hypothetical protein
PP_RS15495;;PP_2992;type 1 glutamine amidotransferase domain-containing protein
PP_RS15500;;PP_2994;NADH:flavin oxidoreductase/NADH oxidase family protein
PP_RS15505;;PP_2995;AAA family ATPase
PP_RS15510;;PP_2996;hypothetical protein
PP_RS15515;;PP_2997;LysR family transcriptional regulator
PP_RS15520;;PP_2998;ketopantoate reductase family protein
PP_RS15525;;PP_2999;glyoxalase/bleomycin resistance/dioxygenase family protein
PP_RS15530;;PP_3000;MaoC family dehydratase
PP_RS15535;;PP_3001;CoA transferase
PP_RS15540;aroE;PP_3002;shikimate dehydrogenase
PP_RS15545;aroQ;PP_3003;type II 3-dehydroquinate dehydratase
PP_RS15550;;PP_3004;hypothetical protein
PP_RS15555;;PP_3005;anti-sigma factor
PP_RS15560;;PP_3006;sigma-70 family RNA polymerase sigma factor
PP_RS15565;;PP_3007;DUF3455 domain-containing protein
PP_RS15570;;PP_3008;hypothetical protein
PP_RS15575;;PP_3010;hypothetical protein
PP_RS15580;;PP_3011;hypothetical protein
PP_RS15585;;PP_3013;hypothetical protein
PP_RS15590;;PP_3014;hypothetical protein
PP_RS15595;;PP_5549;hypothetical protein
PP_RS15600;;PP_3015;hypothetical protein
PP_RS15605;;PP_3016;LPS biosynthesis protein
PP_RS15610;;PP_3017;methylated-DNA--[protein]-cysteine S-methyltransferase
PP_RS15615;;PP_3018;hypothetical protein
PP_RS15620;;PP_3019;carbon-nitrogen hydrolase family protein
PP_RS15625;;PP_3020;serine/threonine protein phosphatase
PP_RS15630;;PP_3021;LysE family translocator
PP_RS15635;;PP_3022;AraC family transcriptional regulator
PP_RS15640;;PP_3023;LysE family translocator
PP_RS15645;;PP_3024;hypothetical protein
PP_RS15650;;PP_5550;STAS-like domain-containing protein
PP_RS15655;;PP_5551;hypothetical protein
PP_RS15660;;PP_3025;LysE family translocator
PP_RS15665;;PP_3026;recombinase family protein
PP_RS15675;;PP_3029;DNA cytosine methyltransferase
PP_RS15680;;PP_3030;hypothetical protein
PP_RS15685;;PP_3031;pyocin activator PrtN family protein
PP_RS15690;;PP_3032;phage antirepressor KilAC domain-containing protein
PP_RS15695;;PP_5552;hypothetical protein
PP_RS15700;;PP_3033;S24 family peptidase
PP_RS15705;;PP_3034;hypothetical protein
PP_RS15710;;PP_5555;hypothetical protein
PP_RS15715;;PP_3037;TraR/DksA C4-type zinc finger protein
PP_RS15720;;PP_3038;toprim domain-containing protein
PP_RS15725;;PP_3039;hypothetical protein
PP_RS15730;;PP_3040;holin
PP_RS15735;;PP_3041;hypothetical protein
PP_RS15740;;PP_3042;phage terminase large subunit family protein
PP_RS15745;;PP_3043;hypothetical protein
PP_RS15750;;PP_3044;phage portal protein
PP_RS15755;;PP_3045;Clp protease ClpP
PP_RS15760;;PP_3046;head decoration protein
PP_RS15765;;PP_3047;major capsid protein
PP_RS15770;;PP_3048;hypothetical protein
PP_RS15775;;PP_3049;hypothetical protein
PP_RS15780;;PP_3050;hypothetical protein
PP_RS15785;;PP_3051;phage baseplate assembly protein V
PP_RS15790;;PP_3052;hypothetical protein
PP_RS15795;;PP_3053;GPW/gp25 family protein
PP_RS15800;;PP_3054;baseplate J/gp47 family protein
PP_RS15805;;PP_3055;phage tail protein I
PP_RS15810;;PP_3056;phage tail protein
PP_RS15815;;PP_3057;hypothetical protein
PP_RS15820;;PP_3058;hypothetical protein
PP_RS15825;;PP_3059;phage tail sheath family protein
PP_RS15830;;PP_3060;phage major tail tube protein
PP_RS15835;;PP_3061;phage tail assembly protein
PP_RS15840;;PP_3062;phage tail tape measure protein
PP_RS15845;;PP_3063;phage tail protein
PP_RS15850;;PP_3064;tail protein X
PP_RS15855;;PP_3065;contractile injection system protein, VgrG/Pvc8 family
PP_RS15860;;PP_3066;glycoside hydrolase family 19 protein
PP_RS15865;;PP_5556;lysis system i-spanin subunit Rz
PP_RS15870;;PP_RS15870;hypothetical protein
PP_RS15875;;PP_3067;PIN domain-containing protein
PP_RS15880;;PP_5558;XRE family transcriptional regulator
PP_RS15885;;PP_3068;LysE family transporter
PP_RS15890;;PP_3069;autotransporter outer membrane beta-barrel domain-containing protein
PP_RS15895;;PP_3070;peptidylprolyl isomerase
PP_RS15900;;PP_3071;acetoacetate--CoA ligase
PP_RS15905;eco;PP_3072;serine protease inhibitor ecotin
PP_RS15910;hbdH;PP_3073;3-hydroxybutyrate dehydrogenase
PP_RS15915;;PP_3074;GntP family permease
PP_RS15920;;PP_3075;sigma 54-interacting transcriptional regulator
PP_RS15925;;PP_3076;ABC transporter permease
PP_RS15930;;PP_3077;microcin C ABC transporter permease YejB
PP_RS15935;;PP_3078;extracellular solute-binding protein
PP_RS15940;;PP_3079;peptidylprolyl isomerase
PP_RS15945;;PP_3080;3-deoxy-7-phosphoheptulonate synthase
PP_RS15950;;PP_3081;YbhB/YbcL family Raf kinase inhibitor-like protein
PP_RS15955;;PP_5560;hypothetical protein
PP_RS15960;;PP_3082;MFS transporter
PP_RS15965;;PP_3083;AEC family transporter
PP_RS15970;;PP_3084;TonB-dependent receptor
PP_RS15975;;PP_3085;FecR domain-containing protein
PP_RS15980;;PP_3086;sigma-70 family RNA polymerase sigma factor
PP_RS15985;;PP_3087;excinuclease ABC subunit UvrA
PP_RS15990;tssA;PP_3088;type VI secretion system protein TssA
PP_RS15995;;PP_3089;type VI secretion system tube protein Hcp
PP_RS16000;tssM;PP_3090;type VI secretion system membrane subunit TssM
PP_RS16005;tagF;PP_5561;type VI secretion system-associated protein TagF
PP_RS16010;;PP_3091;hypothetical protein
PP_RS16015;icmH;PP_3092;type IVB secretion system protein IcmH/DotU
PP_RS16020;tssK;PP_3093;type VI secretion system baseplate subunit TssK
PP_RS16025;tssJ;PP_3094;type VI secretion system lipoprotein TssJ
PP_RS16030;tssH;PP_3095;type VI secretion system ATPase TssH
PP_RS16035;tssG;PP_3096;type VI secretion system baseplate subunit TssG
PP_RS16040;tssF;PP_3097;type VI secretion system baseplate subunit TssF
PP_RS16045;tssE;PP_3098;type VI secretion system baseplate subunit TssE
PP_RS16050;tssC;PP_3099;type VI secretion system contractile sheath large subunit
PP_RS16055;tssB;PP_3100;type VI secretion system contractile sheath small subunit
PP_RS16060;;PP_5562;hypothetical protein
PP_RS16065;;PP_5563;hypothetical protein
PP_RS16070;;PP_3101;ADP-ribosylglycohydrolase family protein
PP_RS16075;;PP_5565;hypothetical protein
PP_RS16085;;PP_5567;type VI secretion system tip protein VgrG
PP_RS16090;;PP_5568;hypothetical protein
PP_RS16105;;PP_5571;hypothetical protein
PP_RS16110;;PP_RS16110;reverse transcriptase domain-containing protein
PP_RS16115;;PP_RS16115;hypothetical protein
PP_RS16120;;PP_3102;immunity protein Tsi6 family protein
PP_RS16125;;PP_3103;polymorphic toxin type 46 domain-containing protein
PP_RS16130;;PP_RS16130;hypothetical protein
PP_RS16135;;PP_3104;hypothetical protein
PP_RS16140;;PP_3105;hypothetical protein
PP_RS16145;vgrG;PP_3106;type VI secretion system tip protein VgrG
PP_RS16150;;PP_5575;hypothetical protein
PP_RS16155;;PP_3107;DUF1795 domain-containing protein
PP_RS16160;;PP_3108;DUF6531 domain-containing protein
PP_RS16165;;PP_5576;hypothetical protein
PP_RS16180;;PP_5578;DUF4303 domain-containing protein
PP_RS16190;;PP_5579;hypothetical protein
PP_RS16195;;PP_5580;protein of unknown function
PP_RS16200;;PP_RS16200;hypothetical protein
PP_RS16205;;PP_5582;Imm26 family immunity protein
PP_RS16210;;PP_RS16210;hypothetical protein
PP_RS16225;;PP_RS16225;HAD family hydrolase
PP_RS16230;tnpB;PP_3113;IS66 family insertion sequence element accessoryprotein TnpB
PP_RS16235;;PP_3114;IS66-like element ISPpu13 family transposase
PP_RS16240;;PP_3115;IS66 family transposase
PP_RS16245;;PP_RS16245;HAD hydrolase-like protein
PP_RS16250;lexA;PP_3116;transcriptional repressor LexA
PP_RS16255;imuA;PP_3117;translesion DNA synthesis-associated protein ImuA
PP_RS16260;;PP_3118;DNA polymerase Y family protein
PP_RS16265;;PP_3119;error-prone DNA polymerase
PP_RS16270;;PP_3120;aldo/keto reductase
PP_RS16275;;PP_3121;LysR family transcriptional regulator
PP_RS16280;;PP_3122;CoA transferase subunit A
PP_RS16285;;PP_3123;CoA transferase subunit B
PP_RS16290;;PP_3124;TIGR00366 family protein
PP_RS16295;;PP_3125;XRE family transcriptional regulator
PP_RS16300;;PP_3126;polysaccharide biosynthesis/export family protein
PP_RS16305;;PP_5587;hypothetical protein
PP_RS16310;;PP_3127;Wzz/FepE/Etk N-terminal domain-containing protein
PP_RS16315;;PP_3128;CpsD/CapB family tyrosine-protein kinase
PP_RS16320;galE;PP_3129;UDP-glucose 4-epimerase GalE
PP_RS16325;;PP_3130;cellulase family glycosylhydrolase
PP_RS16330;;PP_3131;O-antigen ligase family protein
PP_RS16335;;PP_3132;oligosaccharide flippase family protein
PP_RS16340;;PP_3133;GMC family oxidoreductase
PP_RS16345;;PP_3134;acyltransferase
PP_RS16350;;PP_3135;glycosyltransferase family 2 protein
PP_RS16355;;PP_3136;serine acetyltransferase
PP_RS16360;;PP_3137;glycosyltransferase
PP_RS16365;;PP_3138;VirK/YbjX family protein
PP_RS16370;;PP_3139;glycosyltransferase
PP_RS16375;;PP_3140;glycosyltransferase family 2 protein
PP_RS16380;;PP_3141;WecB/TagA/CpsF family glycosyltransferase
PP_RS16385;;PP_3142;undecaprenyl-phosphate glucose phosphotransferase
PP_RS16390;;PP_3143;LysR substrate-binding domain-containing protein
PP_RS16395;;PP_3144;L-serine ammonia-lyase
PP_RS16400;;PP_3145;DUF3313 domain-containing protein
PP_RS16405;;PP_3146;FAD-binding oxidoreductase
PP_RS16410;;PP_3147;polyamine ABC transporter substrate-binding protein
PP_RS16415;;PP_3148;glutamine synthetase family protein
PP_RS16420;;PP_3149;helix-turn-helix domain-containing protein
PP_RS16425;;PP_3150;ATP-binding protein
PP_RS16430;;PP_3151;aldehyde dehydrogenase family protein
PP_RS16435;;PP_3152;LysR family transcriptional regulator
PP_RS16440;;PP_3153;hypothetical protein
PP_RS16445;;PP_3154;acyloxyacyl hydrolase
PP_RS16450;;PP_3155;TonB-dependent siderophore receptor
PP_RS16455;;PP_3156;universal stress protein
PP_RS16460;hisN;PP_3157;histidinol-phosphatase
PP_RS16465;;PP_3158;hypothetical protein
PP_RS16470;;PP_5589;RHS repeat-associated core domain-containing protein
PP_RS16475;benR;PP_3159;benABC operon transcriptional activator BenR
PP_RS16480;;PP_3160;RHS repeat-associated core domain-containing protein
PP_RS16485;benA;PP_3161;benzoate 1,2-dioxygenase large subunit
PP_RS16490;benB;PP_3162;benzoate 1,2-dioxygenase small subunit
PP_RS16495;;PP_3163;benzoate 1,2-dioxygenase electron transfer component BenC
PP_RS16500;;PP_3164;1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
PP_RS16505;;PP_3165;aromatic acid/H+ symport family MFS transporter
PP_RS16510;catA;PP_3166;catechol 1,2-dioxygenase
PP_RS16515;;PP_3167;benzoate/H(+) symporter BenE family transporter
PP_RS16520;;PP_3168;OprD family porin
PP_RS16525;;PP_3169;metal-dependent hydrolase
PP_RS16530;;PP_3170;LysR family transcriptional regulator
PP_RS16535;;PP_3171;LLM class flavin-dependent oxidoreductase
PP_RS16540;ltrA;PP_3172;group II intron reverse transcriptase/maturase
PP_RS16545;;PP_3173;alkene reductase
PP_RS16550;;PP_3174;aldo/keto reductase
PP_RS16555;;PP_3175;FAD-dependent oxidoreductase
PP_RS16560;;PP_3176;MFS transporter
PP_RS16565;;PP_3177;helix-turn-helix domain-containing protein
PP_RS16570;;PP_3178;glycerate kinase
PP_RS16575;;PP_3179;LysR substrate-binding domain-containing protein
PP_RS16580;;PP_3180;SMP-30/gluconolactonase/LRE family protein
PP_RS16585;;PP_3181;site-specific integrase
PP_RS16590;;PP_3182;EAL domain-containing protein
PP_RS16595;;PP_3183;SCO family protein
PP_RS16600;;PP_3184;Ig-like domain-containing protein
PP_RS16605;;PP_3185;TenA family protein
PP_RS16610;tenA;PP_3186;thiaminase II
PP_RS16615;codB;PP_3187;cytosine permease
PP_RS16620;;PP_3188;PucR family transcriptional regulator
PP_RS16625;codA;PP_3189;cytosine deaminase
PP_RS16630;;PP_3190;ornithine cyclodeaminase family protein
PP_RS16635;;PP_3191;threonine/serine dehydratase
PP_RS16640;;PP_3192;PAS domain-containing protein
PP_RS16645;;PP_3193;heme-binding protein
PP_RS16650;;PP_3194;amidohydrolase family protein
PP_RS16655;;PP_3195;prolyl oligopeptidase family serine peptidase
PP_RS16660;;PP_3196;LysR family transcriptional regulator
PP_RS16665;;PP_3197;VOC family protein
PP_RS16670;;PP_3198;Rieske 2Fe-2S domain-containing protein
PP_RS16675;;PP_3199;FAD-dependent oxidoreductase
PP_RS16680;;PP_3200;DUF1302 domain-containing protein
PP_RS16685;;PP_5590;DUF1329 domain-containing protein
PP_RS16690;;PP_3201;YCF48-related protein
PP_RS16695;;PP_3202;MMPL family transporter
PP_RS16700;;PP_3203;MFS transporter
PP_RS16705;;PP_3204;cupin domain-containing protein
PP_RS16710;;PP_3205;fumarylacetoacetate hydrolase family protein
PP_RS16715;;PP_3206;NAD-dependent epimerase/dehydratase family protein
PP_RS16720;;PP_3207;cyclase family protein
PP_RS16725;;PP_3208;PDR/VanB family oxidoreductase
PP_RS16730;;PP_3209;amidohydrolase family protein
PP_RS16735;;PP_3210;ABC transporter permease
PP_RS16740;;PP_3211;ABC transporter ATP-binding protein
PP_RS16745;;PP_3212;aromatic ring-hydroxylating dioxygenase subunit alpha
PP_RS16750;;PP_3213;ABC transporter substrate-binding protein
PP_RS16755;;PP_3214;membrane protein
PP_RS16760;;PP_RS16760;rhodanese-related sulfurtransferase
PP_RS16765;;PP_3216;cysteine dioxygenase
PP_RS16770;;PP_3217;ABC transporter substrate-binding protein
PP_RS16775;;PP_3218;LLM class flavin-dependent oxidoreductase
PP_RS16780;;PP_3219;LLM class flavin-dependent oxidoreductase
PP_RS16785;;PP_3220;ABC transporter ATP-binding protein
PP_RS16790;;PP_3221;ABC transporter permease
PP_RS16795;;PP_3222;ABC transporter permease
PP_RS16800;;PP_3223;ABC transporter substrate-binding protein
PP_RS16805;;PP_3224;class II aldolase/adducin family protein
PP_RS16810;;PP_3225;D-isomer specific 2-hydroxyacid dehydrogenase family protein
PP_RS16815;;PP_3226;acyl-CoA/acyl-ACP dehydrogenase
PP_RS16820;;PP_3227;LysR family transcriptional regulator
PP_RS16825;;PP_3228;ABC transporter substrate-binding protein
PP_RS16830;;PP_3229;aliphatic sulfonate ABC transporter substrate-binding protein
PP_RS16835;;PP_3230;phosphoribosyltransferase
PP_RS16840;;PP_3231;erythromycin esterase family protein
PP_RS16845;;PP_3232;GNAT family N-acetyltransferase
PP_RS16850;fnrB;PP_3233;Crp/Fnr family transcriptional regulator FnrB
PP_RS16855;;PP_5591;hypothetical protein
PP_RS16860;;PP_3234;Hsp20/alpha crystallin family protein
PP_RS16865;;PP_3235;CBS domain-containing protein
PP_RS16875;;PP_3236;hypothetical protein
PP_RS16880;;PP_3237;universal stress protein
PP_RS16885;;PP_3238;phosphoribosyltransferase
PP_RS16890;;PP_3239;DNA-binding protein
PP_RS16895;;PP_5592;hypothetical protein
PP_RS16900;;PP_3241;DUF4142 domain-containing protein
PP_RS16905;;PP_3242;sensor domain-containing diguanylate cyclase
PP_RS16910;;PP_3243;GNAT family N-acetyltransferase
PP_RS16915;;PP_3244;MgtC/SapB family protein
PP_RS16920;;PP_3246;sterol desaturase family protein
PP_RS16925;;PP_3247;bile acid:sodium symporter family protein
PP_RS16930;;PP_3248;Dyp-type peroxidase
PP_RS16935;;PP_3249;aldo/keto reductase
PP_RS16940;;PP_3250;MFS transporter
PP_RS16945;;PP_5593;stress-induced protein
